Fuellzeit,Kuehlzeit,Nachdruck,Nachdruckzeit,Schmelzetemperatur,Vorlauftemperatur,Bauteilgewicht
1.5,9,250,6,240,40,27.219601
1.85,14.12,320.709991,7.41,254.139999,54.139999,27.469801
1.15,9.88,320.709991,4.59,254.139999,25.860001,27.122999
2,12,250,6,240,40,27.2432
1.15,14.12,179.289993,7.41,225.860001,54.139999,26.951599
1.15,14.12,320.709991,7.41,254.139999,25.860001,28.0546
1.5,12,250,6,260,40,27.080799
1.15,14.12,179.289993,7.41,254.139999,25.860001,27.178499
1.15,9.88,320.709991,7.41,254.139999,54.139999,27.354
1.5,12,250,6,240,60,26.8426
1.85,9.88,320.709991,4.59,254.139999,25.860001,27.2026
1.85,9.88,320.709991,7.41,254.139999,25.860001,28.131001
1.85,9.88,179.289993,4.59,254.139999,54.139999,26.455
1.15,9.88,179.289993,7.41,254.139999,25.860001,27.1681
1.85,9.88,320.709991,7.41,254.139999,54.139999,27.4027
1.5,15,250,6,240,40,27.222401
1.15,9.88,179.289993,4.59,254.139999,25.860001,26.761
1.85,14.12,179.289993,4.59,225.860001,25.860001,26.893
1.85,9.88,179.289993,7.41,225.860001,25.860001,27.2339
1.85,14.12,179.289993,4.59,254.139999,54.139999,26.4979
1.15,14.12,179.289993,4.59,254.139999,54.139999,26.456499
1.85,14.12,320.709991,7.41,254.139999,25.860001,28.1401
1.15,14.12,179.289993,4.59,225.860001,54.139999,26.622299
1.85,9.88,179.289993,7.41,225.860001,54.139999,26.980301
1.85,14.12,320.709991,7.41,225.860001,54.139999,27.746099
1.5,12,250,6,240,20,27.5634
1.5,12,250,6,240,40,27.2188
1.85,14.12,320.709991,4.59,254.139999,25.860001,27.2325
1.85,9.88,179.289993,7.41,254.139999,54.139999,26.8407
1.85,9.88,179.289993,7.41,254.139999,25.860001,27.186399
1.5,12,250,4,240,40,26.8067
1.15,9.88,320.709991,4.59,225.860001,54.139999,26.874701
1.85,14.12,179.289993,7.41,254.139999,54.139999,26.8605
1.5,12,250,8,240,40,27.4142
1.15,14.12,320.709991,7.41,254.139999,54.139999,27.402
1.85,9.88,320.709991,4.59,225.860001,25.860001,27.4408
1.15,9.88,320.709991,7.41,225.860001,54.139999,27.6775
1.15,14.12,179.289993,7.41,225.860001,25.860001,27.174299
1.85,9.88,179.289993,4.59,225.860001,25.860001,26.975401
1.85,14.12,179.289993,7.41,225.860001,54.139999,26.992399
1.85,14.12,320.709991,4.59,225.860001,25.860001,27.464001
1.85,9.88,179.289993,4.59,225.860001,54.139999,26.638
1.15,14.12,179.289993,4.59,254.139999,25.860001,26.802099
1.15,9.88,179.289993,4.59,225.860001,25.860001,26.9354
1,12,250,6,240,40,27.1658
1.15,14.12,320.709991,7.41,225.860001,54.139999,27.696501
1.85,9.88,320.709991,4.59,225.860001,54.139999,26.943899
1.15,9.88,320.709991,7.41,254.139999,25.860001,27.997101
1.85,14.12,179.289993,7.41,225.860001,25.860001,27.1933
1.85,9.88,320.709991,4.59,254.139999,54.139999,26.6628
1.5,12,150,6,240,40,26.882
1.85,14.12,320.709991,7.41,225.860001,25.860001,28.0446
1.85,14.12,179.289993,7.41,254.139999,25.860001,27.1845
1.15,14.12,320.709991,4.59,225.860001,25.860001,27.3869
1.15,14.12,320.709991,7.41,225.860001,25.860001,28.033501
1.15,14.12,320.709991,4.59,254.139999,54.139999,26.6637
1.15,14.12,179.289993,7.41,254.139999,54.139999,26.8253
1.15,9.88,320.709991,7.41,225.860001,25.860001,28.0152
1.15,14.12,179.289993,4.59,225.860001,25.860001,26.856001
1.15,9.88,179.289993,7.41,254.139999,54.139999,26.8002
1.85,9.88,320.709991,7.41,225.860001,54.139999,27.758301
1.15,14.12,320.709991,4.59,225.860001,54.139999,26.92
1.85,9.88,179.289993,4.59,254.139999,25.860001,26.815201
1.5,12,250,6,220,40,27.2999
1.85,14.12,320.709991,4.59,225.860001,54.139999,26.983999
1.85,9.88,320.709991,7.41,225.860001,25.860001,28.039801
1.85,14.12,320.709991,4.59,254.139999,54.139999,26.7113
1.15,14.12,320.709991,4.59,254.139999,25.860001,27.146
1.5,12,350,6,240,40,27.9501
1.15,9.88,179.289993,4.59,225.860001,54.139999,26.593599
1.15,9.88,320.709991,4.59,225.860001,25.860001,27.3575
1.15,9.88,179.289993,4.59,254.139999,54.139999,26.4116
1.15,9.88,320.709991,4.59,254.139999,54.139999,26.6092
1.85,14.12,179.289993,4.59,254.139999,25.860001,26.849199
1.85,14.12,179.289993,4.59,225.860001,54.139999,26.6623
1.15,9.88,179.289993,7.41,225.860001,25.860001,27.214199
1.15,9.88,179.289993,7.41,225.860001,54.139999,26.9457
1.5,12,250,6,240,40,27.2188
